סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_6,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
3748      ,עתניאל                   ,77        ,חברון                    ,11        ,ירושלים                  ,78        ,הר חברון                 ,877       ,124       ,295       ,347       ,58        ,35        ,18
3749      ,יצהר                     ,72        ,שכם                      ,48        ,אריאל                    ,72        ,שומרון                   ,1810      ,436       ,683       ,601       ,51        ,27        ,12
3750      ,אלפי מנשה                ,73        ,טול כרם                  ,47        ,כפר סבא                  ,0         ,                         ,8580      ,596       ,2165      ,2963      ,1275      ,691       ,890
3751      ,מגדלים                   ,72        ,שכם                      ,48        ,אריאל                    ,72        ,שומרון                   ,476       ,128       ,97        ,190       ,28        ,16        ,17
3752      ,מעלה לבונה               ,74        ,ראמאללה                  ,48        ,אריאל                    ,73        ,מטה בנימין               ,765       ,126       ,212       ,289       ,58        ,39        ,41
3754      ,אספר                     ,77        ,חברון                    ,11        ,ירושלים                  ,76        ,גוש עציון                ,921       ,224       ,313       ,326       ,19        ,20        ,19
3756      ,סוסיה                    ,77        ,חברון                    ,11        ,ירושלים                  ,78        ,הר חברון                 ,1356      ,228       ,438       ,523       ,68        ,80        ,19
3759      ,אדורה                    ,77        ,חברון                    ,13        ,בית שמש                  ,78        ,הר חברון                 ,488       ,75        ,170       ,168       ,30        ,29        ,16
3760      ,אורנית                   ,73        ,טול כרם                  ,42        ,פתח תקוה                 ,0         ,                         ,9683      ,779       ,2496      ,3404      ,1309      ,810       ,885
3762      ,איתמר                    ,72        ,שכם                      ,48        ,אריאל                    ,72        ,שומרון                   ,1266      ,226       ,455       ,443       ,64        ,44        ,34
3763      ,גבע בנימין               ,74        ,ראמאללה                  ,11        ,ירושלים                  ,73        ,מטה בנימין               ,5789      ,712       ,1828      ,2099      ,529       ,351       ,270
3764      ,חגי                      ,77        ,חברון                    ,11        ,ירושלים                  ,78        ,הר חברון                 ,731       ,127       ,270       ,263       ,35        ,35        ,1
3765      ,עלי                      ,72        ,שכם                      ,48        ,אריאל                    ,73        ,מטה בנימין               ,4354      ,828       ,1355      ,1605      ,288       ,131       ,147
3766      ,כרמי צור                 ,77        ,חברון                    ,11        ,ירושלים                  ,76        ,גוש עציון                ,1160      ,179       ,432       ,407       ,76        ,51        ,15
3767      ,נחליאל                   ,74        ,ראמאללה                  ,11        ,ירושלים                  ,73        ,מטה בנימין               ,756       ,143       ,283       ,258       ,29        ,23        ,20
3768      ,פדואל                    ,73        ,טול כרם                  ,48        ,אריאל                    ,72        ,שומרון                   ,2194      ,323       ,787       ,805       ,163       ,96        ,20
3769      ,הר אדר                   ,74        ,ראמאללה                  ,11        ,ירושלים                  ,0         ,                         ,4397      ,270       ,1089      ,1426      ,730       ,364       ,518
3770      ,חשמונאים                 ,74        ,ראמאללה                  ,11        ,ירושלים                  ,73        ,מטה בנימין               ,3245      ,326       ,623       ,1292      ,313       ,352       ,339
3777      ,                         ,          ,                         ,          ,                         ,          ,                         ,597       ,89        ,267       ,201       ,40        ,0         ,0
3778      ,עץ אפרים                 ,73        ,טול כרם                  ,42        ,פתח תקוה                 ,72        ,שומרון                   ,2536      ,388       ,777       ,931       ,211       ,122       ,107
3779      ,כוכב יעקב                ,74        ,ראמאללה                  ,11        ,ירושלים                  ,73        ,מטה בנימין               ,9325      ,1747      ,3243      ,3373      ,461       ,273       ,228
3780      ,ביתר עילית               ,76        ,בית לחם                  ,11        ,ירושלים                  ,0         ,                         ,63224     ,12459     ,24709     ,21075     ,3045      ,1133      ,803
3781      ,קדר                      ,76        ,בית לחם                  ,11        ,ירושלים                  ,76        ,גוש עציון                ,1580      ,146       ,437       ,610       ,226       ,110       ,51
3782      ,רותם                     ,75        ,ירדן )יריחו(             ,11        ,ירושלים                  ,75        ,ערבות הירדן              ,234       ,33        ,113       ,64        ,24        ,0         ,0
3784      ,שמעה                     ,77        ,חברון                    ,11        ,ירושלים                  ,78        ,הר חברון                 ,832       ,191       ,208       ,319       ,61        ,35        ,18
3785      ,משכיות                   ,75        ,ירדן )יריחו(             ,11        ,ירושלים                  ,75        ,ערבות הירדן              ,276       ,80        ,109       ,80        ,7         ,0         ,0
3786      ,אבנת                     ,75        ,ירדן )יריחו(             ,11        ,ירושלים                  ,74        ,מגילות ים המלח           ,213       ,51        ,80        ,79        ,3         ,0         ,0
3787      ,נעלה                     ,74        ,ראמאללה                  ,11        ,ירושלים                  ,73        ,מטה בנימין               ,2100      ,220       ,652       ,719       ,282       ,105       ,122
3788      ,טלמון                    ,74        ,ראמאללה                  ,11        ,ירושלים                  ,73        ,מטה בנימין               ,5018      ,756       ,2125      ,1630      ,416       ,67        ,24
3790      ,נופים                    ,73        ,טול כרם                  ,48        ,אריאל                    ,72        ,שומרון                   ,936       ,119       ,287       ,323       ,80        ,58        ,69
3791      ,צופים                    ,73        ,טול כרם                  ,42        ,פתח תקוה                 ,72        ,שומרון                   ,2492      ,327       ,725       ,949       ,222       ,158       ,111
3793      ,אבני חפץ                 ,73        ,טול כרם                  ,41        ,נתניה                    ,72        ,שומרון                   ,2031      ,291       ,640       ,755       ,242       ,71        ,32
3794      ,בת עין                   ,76        ,בית לחם                  ,11        ,ירושלים                  ,76        ,גוש עציון                ,1649      ,303       ,486       ,633       ,93        ,76        ,58
3795      ,רבבה                     ,72        ,שכם                      ,48        ,אריאל                    ,72        ,שומרון                   ,2847      ,482       ,1183      ,948       ,182       ,35        ,17
3796      ,כפר האורנים              ,74        ,ראמאללה                  ,11        ,ירושלים                  ,73        ,מטה בנימין               ,2471      ,78        ,783       ,778       ,586       ,187       ,59
3797      ,מודיעין עילית            ,74        ,ראמאללה                  ,11        ,ירושלים                  ,0         ,                         ,78566     ,16724     ,32742     ,24544     ,2878      ,832       ,846
3822      ,                         ,          ,                         ,          ,                         ,          ,                         ,844       ,197       ,332       ,292       ,18        ,1         ,4
3823      ,                         ,          ,                         ,          ,                         ,          ,                         ,3450      ,425       ,1139      ,1269      ,262       ,172       ,183
3824      ,                         ,          ,                         ,          ,                         ,          ,                         ,225       ,41        ,112       ,58        ,14        ,0         ,0
3825      ,                         ,          ,                         ,          ,                         ,          ,                         ,6         ,1         ,4         ,1         ,0         ,0         ,0
4000      ,חיפה                     ,31        ,חיפה                     ,31        ,חיפה                     ,0         ,                         ,324854    ,21148     ,48093     ,107172    ,38268     ,33173     ,77000
4001      ,בוקעאתא                  ,29        ,גולן                     ,21        ,צפת                      ,0         ,                         ,6718      ,514       ,1558      ,2843      ,846       ,476       ,481
4002      ,אלי-עד                   ,29        ,גולן                     ,22        ,טבריה                    ,71        ,גולן                     ,489       ,72        ,111       ,184       ,39        ,26        ,57
4003      ,אל-רום                   ,29        ,גולן                     ,21        ,צפת                      ,71        ,גולן                     ,476       ,37        ,94        ,168       ,60        ,59        ,58
4004      ,כפר חרוב                 ,29        ,גולן                     ,22        ,טבריה                    ,71        ,גולן                     ,546       ,49        ,92        ,215       ,52        ,74        ,64
4005      ,חספין                    ,29        ,גולן                     ,22        ,טבריה                    ,71        ,גולן                     ,1505      ,191       ,509       ,543       ,105       ,72        ,85
4006      ,קשת                      ,29        ,גולן                     ,22        ,טבריה                    ,71        ,גולן                     ,813       ,112       ,280       ,281       ,42        ,54        ,44
4007      ,יונתן                    ,29        ,גולן                     ,22        ,טבריה                    ,71        ,גולן                     ,713       ,94        ,234       ,262       ,52        ,43        ,28
4008      ,מעלה גמלא                ,29        ,גולן                     ,22        ,טבריה                    ,71        ,גולן                     ,616       ,79        ,143       ,248       ,37        ,38        ,71
4009      ,שעל                      ,29        ,גולן                     ,22        ,טבריה                    ,71        ,גולן                     ,351       ,58        ,69        ,132       ,21        ,37        ,34
4010      ,אודם                     ,29        ,גולן                     ,21        ,צפת                      ,71        ,גולן                     ,182       ,36        ,25        ,74        ,6         ,25        ,16
4011      ,אבני איתן                ,29        ,גולן                     ,22        ,טבריה                    ,71        ,גולן                     ,787       ,129       ,258       ,289       ,30        ,39        ,42
4012      ,אניעם                    ,29        ,גולן                     ,22        ,טבריה                    ,71        ,גולן                     ,587       ,23        ,120       ,232       ,95        ,64        ,53
4013      ,אורטל                    ,29        ,גולן                     ,22        ,טבריה                    ,71        ,גולן                     ,367       ,37        ,81        ,157       ,37        ,44        ,11
4014      ,נטור                     ,29        ,גולן                     ,22        ,טבריה                    ,71        ,גולן                     ,523       ,72        ,200       ,186       ,40        ,21        ,4
4015      ,בני יהודה                ,29        ,גולן                     ,22        ,טבריה                    ,71        ,גולן                     ,1282      ,103       ,263       ,414       ,170       ,133       ,199
4017      ,אלוני הבשן               ,29        ,גולן                     ,22        ,טבריה                    ,71        ,גולן                     ,439       ,57        ,163       ,162       ,25        ,27        ,5
4019      ,מיצר                     ,29        ,גולן                     ,22        ,טבריה                    ,71        ,גולן                     ,233       ,56        ,51        ,96        ,21        ,7         ,2
4021      ,גבעת יואב                ,29        ,גולן                     ,22        ,טבריה                    ,71        ,גולן                     ,719       ,64        ,182       ,253       ,77        ,31        ,112
4022      ,גשור                     ,29        ,גולן                     ,22        ,טבריה                    ,71        ,גולן                     ,317       ,29        ,69        ,119       ,46        ,43        ,11
4024      ,קלע                      ,29        ,גולן                     ,22        ,טבריה                    ,71        ,גולן                     ,346       ,30        ,93        ,121       ,49        ,22        ,31
4025      ,קדמת צבי                 ,29        ,גולן                     ,22        ,טבריה                    ,71        ,גולן                     ,600       ,78        ,121       ,238       ,54        ,73        ,36
4026      ,חד-נס                    ,29        ,גולן                     ,22        ,טבריה                    ,71        ,גולן                     ,895       ,59        ,186       ,319       ,163       ,105       ,63
4028      ,כנף                      ,29        ,גולן                     ,22        ,טבריה                    ,71        ,גולן                     ,490       ,31        ,137       ,187       ,80        ,53        ,2
4035      ,                         ,          ,                         ,          ,                         ,          ,                         ,18        ,0         ,3         ,7         ,5         ,2         ,1
4100      ,קצרין                    ,29        ,גולן                     ,22        ,טבריה                    ,0         ,                         ,8524      ,592       ,1689      ,2882      ,1014      ,892       ,1455
4101      ,מרום גולן                ,29        ,גולן                     ,21        ,צפת                      ,71        ,גולן                     ,825       ,59        ,184       ,285       ,129       ,71        ,97
4201      ,מג'דל שמס                ,29        ,גולן                     ,21        ,צפת                      ,0         ,                         ,11507     ,876       ,2538      ,4737      ,1624      ,829       ,903
4203      ,מסעדה                    ,29        ,גולן                     ,21        ,צפת                      ,0         ,                         ,4128      ,337       ,1051      ,1670      ,499       ,269       ,302
4204      ,מבוא חמה                 ,29        ,גולן                     ,22        ,טבריה                    ,71        ,גולן                     ,596       ,66        ,115       ,206       ,61        ,38        ,110
4301      ,אפיק                     ,29        ,גולן                     ,22        ,טבריה                    ,71        ,גולן                     ,391       ,34        ,83        ,142       ,34        ,42        ,56
4303      ,נווה אטי"ב               ,29        ,גולן                     ,21        ,צפת                      ,71        ,גולן                     ,198       ,21        ,26        ,75        ,16        ,19        ,41
4304      ,נוב                      ,29        ,גולן                     ,22        ,טבריה                    ,71        ,גולן                     ,959       ,135       ,325       ,333       ,45        ,39        ,82
4501      ,ע'ג'ר                    ,29        ,גולן                     ,21        ,צפת                      ,0         ,                         ,2720      ,270       ,744       ,1240      ,234       ,127       ,105
4502      ,עין קנייא                ,29        ,גולן                     ,21        ,צפת                      ,0         ,                         ,2412      ,203       ,587       ,996       ,295       ,155       ,176
4503      ,עין זיוון                ,29        ,גולן                     ,21        ,צפת                      ,71        ,גולן                     ,438       ,62        ,92        ,155       ,52        ,29        ,48
4551      ,נאות גולן                ,29        ,גולן                     ,22        ,טבריה                    ,71        ,גולן                     ,669       ,63        ,178       ,231       ,70        ,54        ,73
4701      ,רמת מגשימים              ,29        ,גולן                     ,22        ,טבריה                    ,71        ,גולן                     ,762       ,86        ,241       ,252       ,63        ,46        ,74
